ID	label_ready
HALLMARK_ADIPOGENESIS	Adipogenesis
HALLMARK_ALLOGRAFT_REJECTION	Allograft_Rejection
HALLMARK_ANDROGEN_RESPONSE	Androgen_Response
HALLMARK_ANGIOGENESIS	Angiogenesis
HALLMARK_APICAL_JUNCTION	Apical_Junction
HALLMARK_APICAL_SURFACE	Apical_Surface
HALLMARK_APOPTOSIS	Apoptosis
HALLMARK_BILE_ACID_METABOLISM	Bile_Acid_Metabolism
HALLMARK_CHOLESTEROL_HOMEOSTASIS	Cholesterol_Homeostasis
HALLMARK_COAGULATION	Coagulation
HALLMARK_COMPLEMENT	Complement
HALLMARK_DNA_REPAIR	DNA_Repair
HALLMARK_E2F_TARGETS	E2F_Targets
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Epithelial_Mesenchymal_Transition
HALLMARK_ESTROGEN_RESPONSE_EARLY	Estrogen_Response_Early
HALLMARK_ESTROGEN_RESPONSE_LATE	Estrogen_Response_Late
HALLMARK_FATTY_ACID_METABOLISM	Fatty_Acid_Metabolism
HALLMARK_G2M_CHECKPOINT	G2M_Checkpoint
HALLMARK_GLYCOLYSIS	Glycolysis
HALLMARK_HEDGEHOG_SIGNALING	Hedgehog_Signaling
HALLMARK_HEME_METABOLISM	Heme_Metabolism
HALLMARK_HYPOXIA	Hypoxia
HALLMARK_IL2_STAT5_SIGNALING	IL2_STAT5_Signaling
HALLMARK_IL6_JAK_STAT3_SIGNALING	IL6_JAK_STAT3_Signaling
HALLMARK_INFLAMMATORY_RESPONSE	Inflammatory_Response
HALLMARK_INTERFERON_ALPHA_RESPONSE	Interferon_Alpha_Response
HALLMARK_INTERFERON_GAMMA_RESPONSE	Interferon_Gamma_Response
HALLMARK_KRAS_SIGNALING_DN	KRAS_Signaling_Dn
HALLMARK_KRAS_SIGNALING_UP	KRAS_Signaling_Up
HALLMARK_MITOTIC_SPINDLE	Mitotic_Spindle
HALLMARK_MTORC1_SIGNALING	MTORC1_Signaling
HALLMARK_MYC_TARGETS_V1	MYC_Targets_V1
HALLMARK_MYC_TARGETS_V2	MYC_Targets_V2
HALLMARK_MYOGENESIS	Myogenesis
HALLMARK_NOTCH_SIGNALING	Notch_Signaling
HALLMARK_OXIDATIVE_PHOSPHORYLATION	Oxidative_Phosphorylation
HALLMARK_P53_PATHWAY	P53_Pathway
HALLMARK_PANCREAS_BETA_CELLS	Pancreas_Beta_Cells
HALLMARK_PEROXISOME	Peroxisome
HALLMARK_PI3K_AKT_MTOR_SIGNALING	PI3K_AKT_MTOR_Signaling
HALLMARK_PROTEIN_SECRETION	Protein_Secretion
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Reactive_Oxygen_Species_Pathway
HALLMARK_SPERMATOGENESIS	Spermatogenesis
HALLMARK_TGF_BETA_SIGNALING	TGF_Beta_Signaling
HALLMARK_TNFA_SIGNALING_VIA_NFKB	TNFA_Signaling_Via_NFKB
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Unfolded_Protein_Response
HALLMARK_UV_RESPONSE_DN	UV_Response_Dn
HALLMARK_UV_RESPONSE_UP	UV_Response_Up
HALLMARK_WNT_BETA_CATENIN_SIGNALING	WNT_Beta_Catenin_Signaling
HALLMARK_XENOBIOTIC_METABOLISM	Xenobiotic_Metabolism
